comment,Comment to English,Emoji to text
i love Bangladesh,i love Bangladesh,i love Bangladesh
I love Dhaka❤..love from Agartala,I love Dhaka❤..love from Agartala,I love Dhakared heart..love from Agartala
I love my Bangladesh 🇧🇩❤️🇧🇩,I love my Bangladesh 🇧🇩❤️🇧🇩,I love my Bangladesh flag: Bangladeshred heartflag: Bangladesh
I love my Bangladesh 🇧🇩❤️🇧🇩,I love my Bangladesh 🇧🇩❤️🇧🇩,I love my Bangladesh flag: Bangladeshred heartflag: Bangladesh
I love my country Bangladesh 🇧🇩❤️,I love my country Bangladesh 🇧🇩❤️,I love my country Bangladesh flag: Bangladeshred heart
I love u my country.Kualampur,I love u my country.Kualampur,I love u my country.Kualampur
i m coming to visit Bangladesh😍😍😍😍😍😍🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵🏳️‍🌈🇳🇵🇳🇵🇳🇵🇳🇵bangla is rising,i m coming to visit Bangladesh😍😍😍😍😍😍🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵🏳️‍🌈🇳🇵🇳🇵🇳🇵🇳🇵bangla is rising,i m coming to visit Bangladeshsmiling face with heart-eyessmiling face with heart-eyessmiling face with heart-eyessmiling face with heart-eyessmiling face with heart-eyessmiling face with heart-eyesflag: Nepalflag: Nepalflag: Nepalflag: Nepalflag: Nepalflag: Nepalflag: Nepalflag: Nepalrainbow flagflag: Nepalflag: Nepalflag: Nepalflag: Nepalbangla is rising
I no have idea what to say .,I no have idea what to say .,I no have idea what to say .
I paid 10 taka for using washroom in Uttara North Station. That time I was surprised by their ticketing system!,I paid 10 taka for using washroom in Uttara North Station. That time I was surprised by their ticketing system!,I paid 10 taka for using washroom in Uttara North Station. That time I was surprised by their ticketing system!
I really like those happy vibes in Metro station and also in the Train .......Everybody seems to be very happy .....Well done Bangladesh...... Good development ...... Happy vlog,I really like those happy vibes in Metro station and also in the Train .......Everybody seems to be very happy .....Well done Bangladesh...... Good development ...... Happy vlog,I really like those happy vibes in Metro station and also in the Train .......Everybody seems to be very happy .....Well done Bangladesh...... Good development ...... Happy vlog
I saw your videos 1 year ago.Happy to see that you have come here again.Thank you for presenting our country. Lots of love for both of you.,I saw your videos 1 year ago.Happy to see that you have come here again.Thank you for presenting our country. Lots of love for both of you.,I saw your videos 1 year ago.Happy to see that you have come here again.Thank you for presenting our country. Lots of love for both of you.
I wish your channel gets wider recognition! ❤,I wish your channel gets wider recognition! ❤,I wish your channel gets wider recognition! red heart
I'm living in Dubai i can't believe this in bangladesh i used Dubai Metro regular basis but what I see in your video compare to Dubai Metro Dhaka Metro the best,I'm living in Dubai i can't believe this in bangladesh i used Dubai Metro regular basis but what I see in your video compare to Dubai Metro Dhaka Metro the best,I'm living in Dubai i can't believe this in bangladesh i used Dubai Metro regular basis but what I see in your video compare to Dubai Metro Dhaka Metro the best
I'm so happy when I'm watching Bangladesh's skytrain. Greeting from Thailand 😄🇹🇭🤟,I'm so happy when I'm watching Bangladesh's skytrain. Greeting from Thailand 😄🇹🇭🤟,I'm so happy when I'm watching Bangladesh's skytrain. Greeting from Thailand grinning face with smiling eyesflag: Thailandlove-you gesture
If the railway infrastructure could be made permanent with such thinking the face would change and we should.  I would to do that.  For example will have no rail crossings other routes will be done separately it will be in 100/1000 year planning,If the railway infrastructure could be made permanent with such thinking the face would change and we should.  I would to do that.  For example will have no rail crossings other routes will be done separately it will be in 100/1000 year planning,If the railway infrastructure could be made permanent with such thinking the face would change and we should.  I would to do that.  For example will have no rail crossings other routes will be done separately it will be in 100/1000 year planning
If you are gonna use stock sound of the train then use it properly. You found a 2-second clip of a train honking and decided to use it in loop. you have no idea how cringy it is.,If you are gonna use stock sound of the train then use it properly. You found a 2-second clip of a train honking and decided to use it in loop. you have no idea how cringy it is.,If you are gonna use stock sound of the train then use it properly. You found a 2-second clip of a train honking and decided to use it in loop. you have no idea how cringy it is.
Im from dubai... This metro looks like dubai metro...both are made by japan....awesome,Im from dubai... This metro looks like dubai metro...both are made by japan....awesome,Im from dubai... This metro looks like dubai metro...both are made by japan....awesome
Im from dubai... This metro looks like dubai metro...both are made by japan....awesome,Im from dubai... This metro looks like dubai metro...both are made by japan....awesome,Im from dubai... This metro looks like dubai metro...both are made by japan....awesome
Indeed this will expedite travel time,Indeed this will expedite travel time,Indeed this will expedite travel time
India tey achey mrt tey Ac,India Tey Achey Mrt Tey Ac,India Tey Achey Mrt Tey Ac
Indian local train =langtadesh ar metro rail 🤣🤣🤣🤣,Indian Local Train = Langtadesh ar metro rail 🤣🤣🤣🤣,Indian Local Train = Langtadesh ar metro rail rolling on the floor laughingrolling on the floor laughingrolling on the floor laughingrolling on the floor laughing
Informative video guys! Looks cool 😎,Informative video guys! Looks cool 😎,Informative video guys! Looks cool smiling face with sunglasses
Interesting Trainset is from Japan and made by Kawasaki and Mitsubishi Corporation . I haven't tried yet .  and we have women driver or Loco Master in Mainline Train service for many years . Best Wises,Interesting Trainset is from Japan and made by Kawasaki and Mitsubishi Corporation . I haven't tried yet .  and we have women driver or Loco Master in Mainline Train service for many years . Best Wises,Interesting Trainset is from Japan and made by Kawasaki and Mitsubishi Corporation . I haven't tried yet .  and we have women driver or Loco Master in Mainline Train service for many years . Best Wises
Interesting Trainset is from Japan and made by Kawasaki and Mitsubishi Corporation . I haven't tried yet .  and we have women driver or Loco Master in Mainline Train service for many years . Best Wises,Interesting Trainset is from Japan and made by Kawasaki and Mitsubishi Corporation . I haven't tried yet .  and we have women driver or Loco Master in Mainline Train service for many years . Best Wises,Interesting Trainset is from Japan and made by Kawasaki and Mitsubishi Corporation . I haven't tried yet .  and we have women driver or Loco Master in Mainline Train service for many years . Best Wises
Is Bangladesh a peaceful country now? Happy to see them having a Metro Train.,Is Bangladesh a peaceful country now? Happy to see them having a Metro Train.,Is Bangladesh a peaceful country now? Happy to see them having a Metro Train.
Is it possible to complete the line within 2026 the given expected completion date. I don't think so.,Is it possible to complete the line within 2026 the given expected completion date. I don't think so.,Is it possible to complete the line within 2026 the given expected completion date. I don't think so.
Is there any need of a whistle,Is there any need of a whistle,Is there any need of a whistle
It is mostly the private cars that cause congestion. And sometimes buses and trucks parked on roadsides.,It is mostly the private cars that cause congestion. And sometimes buses and trucks parked on roadsides.,It is mostly the private cars that cause congestion. And sometimes buses and trucks parked on roadsides.
It is not business but looted money is being picked from public pockets. You have looted allmost fifty percent of total cost. Indonesia has made same metro rail with less than fiifty percent of our metro rail cost.,It is not business but looted money is being picked from public pockets. You have looted allmost fifty percent of total cost. Indonesia has made same metro rail with less than fiifty percent of our metro rail cost.,It is not business but looted money is being picked from public pockets. You have looted allmost fifty percent of total cost. Indonesia has made same metro rail with less than fiifty percent of our metro rail cost.
It is not business but looted money is being picked from public pockets. You have looted allmost fifty percent of total cost. Indonesia has made same metro rail with less than fiifty percent of our metro rail cost.,It is not business but looted money is being picked from public pockets. You have looted allmost fifty percent of total cost. Indonesia has made same metro rail with less than fiifty percent of our metro rail cost.,It is not business but looted money is being picked from public pockets. You have looted allmost fifty percent of total cost. Indonesia has made same metro rail with less than fiifty percent of our metro rail cost.
It was great that you spent a lot of your valuable time in Bangladesh. And that you are again in Bangladesh is so nice of you - both of you. That really assure us of that you loved Bangladesh and still love Bangladesh and genuine well-wishers of Bangladesh.  Hope that if I could help you in some way like sponsoring your travel or like anything that would make your tour more enjoyable to you !!,It was great that you spent a lot of your valuable time in Bangladesh. And that you are again in Bangladesh is so nice of you - both of you. That really assure us of that you loved Bangladesh and still love Bangladesh and genuine well-wishers of Bangladesh.  Hope that if I could help you in some way like sponsoring your travel or like anything that would make your tour more enjoyable to you !!,It was great that you spent a lot of your valuable time in Bangladesh. And that you are again in Bangladesh is so nice of you - both of you. That really assure us of that you loved Bangladesh and still love Bangladesh and genuine well-wishers of Bangladesh.  Hope that if I could help you in some way like sponsoring your travel or like anything that would make your tour more enjoyable to you !!
It's a great achievement. Thanks to our honourable PM. It's our asset pls keep it clean,It's a great achievement. Thanks to our honourable PM. It's our asset pls keep it clean,It's a great achievement. Thanks to our honourable PM. It's our asset pls keep it clean
It's great to see you guys enjoying the metro trip😁😁❣️❣️,It's great to see you guys enjoying the metro trip😁😁❣️❣️,It's great to see you guys enjoying the metro tripbeaming face with smiling eyesbeaming face with smiling eyesheart exclamationheart exclamation
It's like a festival going on ✌️,It's like a festival going on ✌️,It's like a festival going on victory hand
It's not fully open yet... Also there is an underground Metro system planned.,It's not fully open yet... Also there is an underground Metro system planned.,It's not fully open yet... Also there is an underground Metro system planned.
It's not fully open yet... Also there is an underground Metro system planned.,It's not fully open yet... Also there is an underground Metro system planned.,It's not fully open yet... Also there is an underground Metro system planned.
It's possible only Bangladesh and I'm sorry for the person who has captured it on Camera. Your effort will be valueless at the end of the day.,It's possible only Bangladesh and I'm sorry for the person who has captured it on Camera. Your effort will be valueless at the end of the day.,It's possible only Bangladesh and I'm sorry for the person who has captured it on Camera. Your effort will be valueless at the end of the day.
It's really amazing to see you guys 💕💕💕💕💕💕 from Rangpur,It's really amazing to see you guys 💕💕💕💕💕💕 from Rangpur,It's really amazing to see you guys two heartstwo heartstwo heartstwo heartstwo heartstwo hearts from Rangpur
It's really nice to you guys back in Bangladesh again. I understand that you guys are enjoying Bangladesh a lot. BTW,It's really nice to you guys back in Bangladesh again. I understand that you guys are enjoying Bangladesh a lot. BTW,It's really nice to you guys back in Bangladesh again. I understand that you guys are enjoying Bangladesh a lot. BTW
It's weird to hear bengali language when you generally speak hindi but also know bengali😂,It's weird to hear bengali language when you generally speak hindi but also know bengali😂,It's weird to hear bengali language when you generally speak hindi but also know bengaliface with tears of joy
It's weird to hear bengali language when you generally speak hindi but also know bengali😂,It's weird to hear bengali language when you generally speak hindi but also know bengali😂,It's weird to hear bengali language when you generally speak hindi but also know bengaliface with tears of joy
Its better than metro of Kolkata 🥺🥺🥺🥺🥺,Its better than metro of Kolkata 🥺🥺🥺🥺🥺,Its better than metro of Kolkata pleading facepleading facepleading facepleading facepleading face
Its interesting that you have doors between the carriages. I havent seen that in a metro in quite a while.,Its interesting that you have doors between the carriages. I havent seen that in a metro in quite a while.,Its interesting that you have doors between the carriages. I havent seen that in a metro in quite a while.
Its pleasure for ourself that many foreigner visiting our country and its increasing day by day. 💕,Its pleasure for ourself that many foreigner visiting our country and its increasing day by day. 💕,Its pleasure for ourself that many foreigner visiting our country and its increasing day by day. two hearts
jadur shohor kemne bhai shuni?,Jadur Shohor Kemne Bhai Shuni?,Jadur Shohor Kemne Bhai Shuni?
Jak dekhe valo laglo je Bangladesh e akhon metro chilo hoyeche ebar Bangladesh e tour korte gele ekbar okhaner metro chore dekhbo love from india 🇮🇳,Jak Dekhe Valo Laglo Je Bangladesh Ekhon Metro Chilo Hoyeche Ebar Bangladesh E Tour Korte Gele Ekbar Okhaner Metro Chore Dekhbo Love from India 🇮🇳,Jak Dekhe Valo Laglo Je Bangladesh Ekhon Metro Chilo Hoyeche Ebar Bangladesh E Tour Korte Gele Ekbar Okhaner Metro Chore Dekhbo Love from India flag: India
Jazak ALLAH khayran.,Jazak Allah Khayran.,Jazak Allah Khayran.
Jazak ALLAH khayran.,Jazak Allah Khayran.,Jazak Allah Khayran.
Jonogon er taka lute nicce,Jonogon er taka lute nicce,Jonogon er taka lute nicce
Jotosob faltu,Jotosob Faltu,Jotosob Faltu
Joy Bangla,Place,Place
Joy Bangla 🇧🇩🇧🇩🇧🇩,Place Bangla 🇧🇩🇧🇩🇧🇩,Place Bangla flag: Bangladeshflag: Bangladeshflag: Bangladesh
Joy Bangla 🇧🇩✌️,Place Bangla 🇧🇩✌️,Place Bangla flag: Bangladeshvictory hand
Joy Bangla ❤,Place Bangla ❤,Place Bangla red heart
Joy Bangla ❤,Place Bangla ❤,Place Bangla red heart
Joy Bangla ❤,Place Bangla ❤,Place Bangla red heart
Joy bangla joy bangabandu long live Bangladesh 🇧🇩 long live honarebel prime minister sheikh hasina mother of humanity make your father dream come true make Bangladesh 🇧🇩 best country in the world 🇧🇩 🇬🇧 🌎 I am from England 🇬🇧 I am 68years old 🇧🇩 🇬🇧 🌎,Joy bangla joy bangabandu long live Bangladesh 🇧🇩 long live honarebel prime minister sheikh hasina mother of humanity make your father dream come true make Bangladesh 🇧🇩 best country in the world 🇧🇩 🇬🇧 🌎 I am from England 🇬🇧 I am 68years old 🇧🇩 🇬🇧 🌎,Joy bangla joy bangabandu long live Bangladesh flag: Bangladesh long live honarebel prime minister sheikh hasina mother of humanity make your father dream come true make Bangladesh flag: Bangladesh best country in the world flag: Bangladesh flag: United Kingdom globe showing Americas I am from England flag: United Kingdom I am 68years old flag: Bangladesh flag: United Kingdom globe showing Americas
Joy bangla joy bangabandu long live Bangladesh 🇧🇩 long live honarebel prime minister sheikh hasina mother of humanity make your father dream come true make Bangladesh 🇧🇩 best country in the world 🇧🇩 🇬🇧 🌎 I am from England 🇬🇧 I am 68years old 🇧🇩 🇬🇧 🌎,Joy bangla joy bangabandu long live Bangladesh 🇧🇩 long live honarebel prime minister sheikh hasina mother of humanity make your father dream come true make Bangladesh 🇧🇩 best country in the world 🇧🇩 🇬🇧 🌎 I am from England 🇬🇧 I am 68years old 🇧🇩 🇬🇧 🌎,Joy bangla joy bangabandu long live Bangladesh flag: Bangladesh long live honarebel prime minister sheikh hasina mother of humanity make your father dream come true make Bangladesh flag: Bangladesh best country in the world flag: Bangladesh flag: United Kingdom globe showing Americas I am from England flag: United Kingdom I am 68years old flag: Bangladesh flag: United Kingdom globe showing Americas
Just amazing ☺️☺️☺️,Just amazing ☺️☺️☺️,Just amazing smiling facesmiling facesmiling face
Just wait,Just wait,Just wait
Keep visit Bangladesh. More improvement coming in future days. I like to see you all during the general election time so you all can update the real news of election in Bangladesh. Government won't able to do anything against you all as foreign national.,Keep visit Bangladesh. More improvement coming in future days. I like to see you all during the general election time so you all can update the real news of election in Bangladesh. Government won't able to do anything against you all as foreign national.,Keep visit Bangladesh. More improvement coming in future days. I like to see you all during the general election time so you all can update the real news of election in Bangladesh. Government won't able to do anything against you all as foreign national.
Keren Bangladesh akan maju kita terus maju bersama 🇮🇩,Keren Bangladesh will move forward we continue to thrive together 🇮🇩,Keren Bangladesh will move forward we continue to thrive together flag: Indonesia
Khan,Khan,Khan
Khan,Khan,Khan
Khub khub badhai Bangladesh ko first metro ke liye......love from India,Khub khub badhai bangladesh ko first metro ke liye ...... love from India,Khub khub badhai bangladesh ko first metro ke liye ...... love from India
Khub sondor 🥰,Khub sondor 🥰,Khub sondor smiling face with hearts
Khub Sundor 💙,Khub sundor 💙,Khub sundor blue heart
Khubsundar,Khubsundar,Khubsundar
khulna outter circular road er update den,khulna outter circular road er update den,khulna outter circular road er update den
khulna outter circular road er update den,khulna outter circular road er update den,khulna outter circular road er update den
khulna outter circular road project er update den,khulna outter circular road project er update den,khulna outter circular road project er update den
Kichu. Manush bole sarkar kno kaje kore nai,Kichu. Manush bole sarkar kno kaje kore nai,Kichu. Manush bole sarkar kno kaje kore nai
kindest vlogger ever❤️❤️🇧🇩,kindest vlogger ever❤️❤️🇧🇩,kindest vlogger everred heartred heartflag: Bangladesh
Kolkata te metro rail suru hoyeche..1984 saal e r aaj bangladesh e metro rail suru holo....vaalo laglo dekhe je late holeo...Bangladesh eto advancement er dike egoche.congrats.👍👍👌👌,Kolkata te metro rail suru hoyeche..1984 saal e r aaj bangladesh e metro rail suru holo .... vaalo lag dekhe je lat holeo ... bangladesh eto advancement er dike egoche.congrats.,Kolkata te metro rail suru hoyeche..1984 saal e r aaj bangladesh e metro rail suru holo .... vaalo lag dekhe je lat holeo ... bangladesh eto advancement er dike egoche.congrats.
Kolkatai 40 bochhor agei metro rail suru hoyegeche,Kolkatai 40 bochhor agii metro rail suru hoygeche,Kolkatai 40 bochhor agii metro rail suru hoygeche
Kolkatai 40 bochhor agei metro rail suru hoyegeche,Kolkatai 40 bochhor agii metro rail suru hoygeche,Kolkatai 40 bochhor agii metro rail suru hoygeche
Kon year a?,Kon year a?,Kon year a?
Kono kichur unnowon kore lav nei. Age Manusher choritro thik korte hobe .......................Apu.,Kono Kichur Unowon Kore Lav Nei. Age manusher choritro thik korte hobe .......................................................,Kono Kichur Unowon Kore Lav Nei. Age manusher choritro thik korte hobe .......................................................
Kotha emne bole keno ei reporter!!!!!!,Kotha emne bole keno ei reporter !!!!!!,Kotha emne bole keno ei reporter !!!!!!
Kotha emne bole keno ei reporter!!!!!!,Kotha emne bole keno ei reporter !!!!!!,Kotha emne bole keno ei reporter !!!!!!
L❤️VE from India..,L❤️VE from India..,Lred heartVE from India..
lagbe na vai metro hoise etatei khushi,lagbe na vai metro hoise etatei khushi,lagbe na vai metro hoise etatei khushi
Last station of old dhaka of Metro Rail MRT‐2 may fix at Bahadurshah park.Then Shadorghat water ways users will also become in the benifit.,Last station of old dhaka of Metro Rail MRT‐2 may fix at Bahadurshah park.Then Shadorghat water ways users will also become in the benifit.,Last station of old dhaka of Metro Rail MRT‐2 may fix at Bahadurshah park.Then Shadorghat water ways users will also become in the benifit.
Let the project be completed within the scheduled time limit by our Bangladesh government. What you say !! Your videos are always important informative and impressive which may easily impress us at all times. Thanks for your kind efforts. Take care and be safe. Uncle. 22.08.2023,Let the project be completed within the scheduled time limit by our Bangladesh government. What you say !! Your videos are always important informative and impressive which may easily impress us at all times. Thanks for your kind efforts. Take care and be safe. Uncle. 22.08.2023,Let the project be completed within the scheduled time limit by our Bangladesh government. What you say !! Your videos are always important informative and impressive which may easily impress us at all times. Thanks for your kind efforts. Take care and be safe. Uncle. 22.08.2023
Let's hope that the network further expands,Let's hope that the network further expands,Let's hope that the network further expands
Lets hope this network is quickly extended to every part of the city.,Lets hope this network is quickly extended to every part of the city.,Lets hope this network is quickly extended to every part of the city.
Like a Yamanote-line,Like a Yamanote-line,Like a Yamanote-line
Line-1 (Shahjalal Int. Airport- Kamlapur): Bangladesh's first subway metro. Groundwork is being started in this month.,Line-1 (Shahjalal Int. Airport- Kamlapur): Bangladesh's first subway metro. Groundwork is being started in this month.,Line-1 (Shahjalal Int. Airport- Kamlapur): Bangladesh's first subway metro. Groundwork is being started in this month.
Line-4 (Hemayetpur-Bhatara): Subway + Elevated. Groundwork will be started in Jun,Line-4 (Hemayetpur-Bhatara): Subway + Elevated. Groundwork will be started in Jun,Line-4 (Hemayetpur-Bhatara): Subway + Elevated. Groundwork will be started in Jun
Lots of foreigner visit our country 🇧🇩 it is very pleasure for us❤️,Lots of foreigner visit our country 🇧🇩 it is very pleasure for us❤️,Lots of foreigner visit our country flag: Bangladesh it is very pleasure for usred heart
Lots of love to both of you. The amount of love both of you show for our country is amazing. Now both of you are becoming part of us and our country. Stay blessed.,Lots of love to both of you. The amount of love both of you show for our country is amazing. Now both of you are becoming part of us and our country. Stay blessed.,Lots of love to both of you. The amount of love both of you show for our country is amazing. Now both of you are becoming part of us and our country. Stay blessed.
Lots of prayers and good wishes for you,Lots of prayers and good wishes for you,Lots of prayers and good wishes for you
Lots Of Respect And Love From Bangladesh 💚,Lots Of Respect And Love From Bangladesh 💚,Lots Of Respect And Love From Bangladesh green heart
Love from 🇧🇩♥️🇮🇳,Love from 🇧🇩♥️🇮🇳,Love from flag: Bangladeshheart suitflag: India
Love from a Banglafesh,Love from a Banglafesh,Love from a Banglafesh
Love from a Banglafesh,Love from a Banglafesh,Love from a Banglafesh
love from Bangladesh,love from Bangladesh,love from Bangladesh
Love from Bangladesh .Thanks for visiting BD again.😍,Love from Bangladesh .Thanks for visiting BD again.😍,Love from Bangladesh .Thanks for visiting BD again.smiling face with heart-eyes
Love from Bangladesh ❤️🇧🇩🇧🇩🇮🇳,Love from Bangladesh ❤️🇧🇩🇧🇩🇮🇳,Love from Bangladesh red heartflag: Bangladeshflag: Bangladeshflag: India
Love from Bangladesh. Thanks for coming back to Bangladesh again.,Love from Bangladesh. Thanks for coming back to Bangladesh again.,Love from Bangladesh. Thanks for coming back to Bangladesh again.
Love from India.... Way to go.. May ur metro becomes more extensive dan d tube!,Love from India.... Way to go.. May ur metro becomes more extensive dan d tube!,Love from India.... Way to go.. May ur metro becomes more extensive dan d tube!
Love from Kolkata.,Love from Kolkata.,Love from Kolkata.
Love from Malaysia.,Love from Malaysia.,Love from Malaysia.
Love from pakistan.,Love from pakistan.,Love from pakistan.
Love from Royal Airforce Base Manitoba,Love from Royal Airforce Base Manitoba,Love from Royal Airforce Base Manitoba
Love from Royal Airforce Base Manitoba,Love from Royal Airforce Base Manitoba,Love from Royal Airforce Base Manitoba
Love From Sylhet,Love From Sylhet,Love From Sylhet
love it 😀 ❤️❤️❤️,love it 😀 ❤️❤️❤️,love it grinning face red heartred heartred heart
Love this page .. make a video on Padma bridge railway..,Love this page .. make a video on Padma bridge railway..,Love this page .. make a video on Padma bridge railway..
Love you both ..you both are so humble and soft kindness..,Love you both ..you both are so humble and soft kindness..,Love you both ..you both are so humble and soft kindness..
Love you both ..you both are so humble and soft kindness..,Love you both ..you both are so humble and soft kindness..,Love you both ..you both are so humble and soft kindness..
Love you guys. We are happy and honoured to see you. ❤️❤️,Love you guys. We are happy and honoured to see you. ❤️❤️,Love you guys. We are happy and honoured to see you. red heartred heart
Love you guys.Happy to see you both,Love you guys.Happy to see you both,Love you guys.Happy to see you both
Love you guys.Happy to see you both,Love you guys.Happy to see you both,Love you guys.Happy to see you both
love you guys❤️,love you guys❤️,love you guysred heart
M R T 3 লাইন কোথায় হবে জানাবেন কি❤❤❤,M R T 3 Line will tell you where to be,M R T 3 Line will tell you where to be
Ma Hassina u please extend matro fly over Sador gat to jingira . Please make 2 ferry gat jingira & sador gat.,Ma Hassina u please extend matro fly over sador gat to jingira. Please make 2 ferry gat jingira & sador gat.,Ma Hassina u please extend matro fly over sador gat to jingira. Please make 2 ferry gat jingira & sador gat.
Main road a rickshaw bhondo na korle..kono lab hobe na,Main Road a rickshaw bhondo na korle..kono lab hobe na,Main Road a rickshaw bhondo na korle..kono lab hobe na
Make Chandpur second capital . Ur  our mother of nation. it will Make opportunity to earn foreign currency. New year fire work Mujibur dad birthday. we will celebrate happily. We love u. Long live Hassina. U r our queen & god,Make Chandpur second capital . Ur  our mother of nation. it will Make opportunity to earn foreign currency. New year fire work Mujibur dad birthday. we will celebrate happily. We love u. Long live Hassina. U r our queen & god,Make Chandpur second capital . Ur  our mother of nation. it will Make opportunity to earn foreign currency. New year fire work Mujibur dad birthday. we will celebrate happily. We love u. Long live Hassina. U r our queen & god
Make plan to take metro rail  jinjira. we will sent u more money & remittance. U hirock ar rani Bangladeshi vagoban. air port to sadorgat then we will go borishal Chandpur. Joy Siri ram. Ur vogban of Bangladeshi Muslim’s,Make plan to take metro rail  jinjira. we will sent u more money & remittance. U hirock ar rani Bangladeshi vagoban. air port to sadorgat then we will go borishal Chandpur. Joy Siri ram. Ur vogban of Bangladeshi Muslim’s,Make plan to take metro rail  jinjira. we will sent u more money & remittance. U hirock ar rani Bangladeshi vagoban. air port to sadorgat then we will go borishal Chandpur. Joy Siri ram. Ur vogban of Bangladeshi Muslim’s
Mam apni khub sundor kotha bolte paren,Mam apni khub sundor kotha bolte paren,Mam apni khub sundor kotha bolte paren
Mamun bhai good job 👍,Mamun bhai good job ●,Mamun bhai good job ●
Manila also have same LRT,Manila also have same LRT,Manila also have same LRT
manush etodur jabe kivabe lauggage niye ure ure?,Manush Etodur Jabe Kivabe Lauggage Niye ure ure?,Manush Etodur Jabe Kivabe Lauggage Niye ure ure?
Many Congratulations Bangladesh. Sotti outstanding bhai  emotional moment . We are very happy to see your progress. I love Bangladesh and all my Bangladeshi Brothers and sisters. A true Bengali from Kolkata and senior PhD scholar of the University of Malaya (UM),Many Congratulations Bangladesh. Sotti outstanding bhai  emotional moment . We are very happy to see your progress. I love Bangladesh and all my Bangladeshi Brothers and sisters. A true Bengali from Kolkata and senior PhD scholar of the University of Malaya (UM),Many Congratulations Bangladesh. Sotti outstanding bhai  emotional moment . We are very happy to see your progress. I love Bangladesh and all my Bangladeshi Brothers and sisters. A true Bengali from Kolkata and senior PhD scholar of the University of Malaya (UM)
Many many Congratulation to my brothers and sisters in bangladesh.,Many many Congratulation to my brothers and sisters in bangladesh.,Many many Congratulation to my brothers and sisters in bangladesh.
Many many congratulations 👏,Many many congratulations 👏,Many many congratulations clapping hands
Many thanks to Shekhashina for building Metrorail,Many thanks to Shekhashina for building Metrorail,Many thanks to Shekhashina for building Metrorail
Masha Allah,MASHA Alllah,MASHA Alllah
Masha allah,MASHA Alllah,MASHA Alllah
"Masha Allah ,onek buitiful","Masha allah, onek buitiful","Masha allah, onek buitiful"
Masha allah.,MASHA Alllah.,MASHA Alllah.
mashaallah ❤,MashaAllah ❤,MashaAllah red heart
Mashaallah.,MashaAllah.,MashaAllah.
MashAllah,Mashallah,Mashallah
Matro rale konochoti nai,Matro rale konochoti nai,Matro rale konochoti nai
May Bangladesh achieve the highest of success. 🇮🇳 🤝 🇧🇩,May Bangladesh achieve the highest of success. 🇮🇳 🤝 🇧🇩,May Bangladesh achieve the highest of success. flag: India handshake flag: Bangladesh
Mero rail a horn kno bazay?,Mero rail a horn kno bazay?,Mero rail a horn kno bazay?
Meroon or navy blue or dark green or dark red color would be better bcz white color will looks dirty so fast and it seems the rail so older🙂,Meroon or navy blue or dark green or dark red color would be better bcz white color will looks dirty so fast and it seems the rail so older🙂,Meroon or navy blue or dark green or dark red color would be better bcz white color will looks dirty so fast and it seems the rail so olderslightly smiling face
Metro pass bank card ঘুলায় দিয়ে দিলে পারে contactless card,Metro Pass Bank Card Card can be given in the Contactless Card,Metro Pass Bank Card Card can be given in the Contactless Card
Metro pass bank card ঘুলায় দিয়ে দিলে পারে contactless card,Metro Pass Bank Card Card can be given in the Contactless Card,Metro Pass Bank Card Card can be given in the Contactless Card
Metro r coach gulo probably aapnara south koria theke import korechen,Metro r coach Gulo probably aapnara south koria theke import korechen,Metro r coach Gulo probably aapnara south koria theke import korechen
Metro r lelvated express way chara r khobor nai desh e ?,Metro r lelvated express way chara r khobor nai desh e?,Metro r lelvated express way chara r khobor nai desh e?
Metro r lelvated express way chara r khobor nai desh e ?,Metro r lelvated express way chara r khobor nai desh e?,Metro r lelvated express way chara r khobor nai desh e?
Metro Rail,Metro Rail,Metro Rail
Metro Rail Amar Protidin er Songi Eta Normal,Metro Rail Amar Protidin er songi eta Normal,Metro Rail Amar Protidin er songi eta Normal
Metro rail ato horn mare kan????,Metro rail ato horn mara kan ????,Metro rail ato horn mara kan ????
Metro rail chalu hoiyeche?,Metro Rail Chalu hoiyeche?,Metro Rail Chalu hoiyeche?
Metro Rail e horn Dewar logic ki?? Mne Sound Pollution na korle ki pap hoy?,Metro Rail e Horn Dewar Logic Ki ?? Mne sound pollution na korle ki pa hoy?,Metro Rail e Horn Dewar Logic Ki ?? Mne sound pollution na korle ki pa hoy?
metro rail e toilet e taka neoa hosse keno?,Metro Rail e Toilet e Taka Neoa Hossain Keno?,Metro Rail e Toilet e Taka Neoa Hossain Keno?
metro rail er ei sound ta manush er jonno khotikarok,Metro Rail er ei sound ta manush er jonno Khotikarok,Metro Rail er ei sound ta manush er jonno Khotikarok
Metro rail Fare Free hole valo hoto.,Metro Rail Fare Free Hole Valo Hoto.,Metro Rail Fare Free Hole Valo Hoto.
Metro rail is financed by Jica,Metro rail is financed by Jica,Metro rail is financed by Jica
Metro rail is financed by Jica,Metro rail is financed by Jica,Metro rail is financed by Jica
