comment,Comment to English,Emoji to text,prediction,max_sentiment_label,max_sentiment_value
Lots Of Respect And Love From Bangladesh 💚,Lots Of Respect And Love From Bangladesh 💚,Lots Of Respect And Love From Bangladesh green heart,"{'neg': 0.0, 'neu': 0.343, 'pos': 0.657, 'compound': 0.91}",compound,0.91
Love from 🇧🇩♥️🇮🇳,Love from 🇧🇩♥️🇮🇳,Love from flag: Bangladeshheart suitflag: India,"{'neg': 0.0, 'neu': 0.543, 'pos': 0.457, 'compound': 0.6369}",compound,0.6369
Love from a Banglafesh,Love from a Banglafesh,Love from a Banglafesh,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.6369}",compound,0.6369
love from Bangladesh,love from Bangladesh,love from Bangladesh,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.6369}",pos,0.677
Love from Bangladesh .Thanks for visiting BD again.😍,Love from Bangladesh .Thanks for visiting BD again.😍,Love from Bangladesh .Thanks for visiting BD again.smiling face with heart-eyes,"{'neg': 0.0, 'neu': 0.559, 'pos': 0.441, 'compound': 0.7964}",compound,0.7964
Love from Bangladesh ❤️🇧🇩🇧🇩🇮🇳,Love from Bangladesh ❤️🇧🇩🇧🇩🇮🇳,Love from Bangladesh red heartflag: Bangladeshflag: Bangladeshflag: India,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.6369}",compound,0.6369
Love from Bangladesh. Thanks for coming back to Bangladesh again.,Love from Bangladesh. Thanks for coming back to Bangladesh again.,Love from Bangladesh. Thanks for coming back to Bangladesh again.,"{'neg': 0.0, 'neu': 0.53, 'pos': 0.47, 'compound': 0.7964}",compound,0.7964
Love from India.... Way to go.. May ur metro becomes more extensive dan d tube!,Love from India.... Way to go.. May ur metro becomes more extensive dan d tube!,Love from India.... Way to go.. May ur metro becomes more extensive dan d tube!,"{'neg': 0.0, 'neu': 0.757, 'pos': 0.243, 'compound': 0.6696}",neu,0.757
Love from Kolkata.,Love from Kolkata.,Love from Kolkata.,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.6369}",pos,0.677
Love from Malaysia.,Love from Malaysia.,Love from Malaysia.,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.6369}",pos,0.677
Love from pakistan.,Love from pakistan.,Love from pakistan.,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.6369}",pos,0.677
Love from Royal Airforce Base Manitoba,Love from Royal Airforce Base Manitoba,Love from Royal Airforce Base Manitoba,"{'neg': 0.0, 'neu': 0.543, 'pos': 0.457, 'compound': 0.6369}",compound,0.6369
Love From Sylhet,Love From Sylhet,Love From Sylhet,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.6369}",pos,0.677
love it 😀 ❤️❤️❤️,love it 😀 ❤️❤️❤️,love it grinning face red heartred heartred heart,"{'neg': 0.0, 'neu': 0.314, 'pos': 0.686, 'compound': 0.8979}",compound,0.8979
Love this page .. make a video on Padma bridge railway..,Love this page .. make a video on Padma bridge railway..,Love this page .. make a video on Padma bridge railway..,"{'neg': 0.0, 'neu': 0.704, 'pos': 0.296, 'compound': 0.6369}",neu,0.704
Love you both ..you both are so humble and soft kindness..,Love you both ..you both are so humble and soft kindness..,Love you both ..you both are so humble and soft kindness..,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.802}",compound,0.802
Love you guys. We are happy and honoured to see you. ❤️❤️,Love you guys. We are happy and honoured to see you. ❤️❤️,Love you guys. We are happy and honoured to see you. red heartred heart,"{'neg': 0.0, 'neu': 0.395, 'pos': 0.605, 'compound': 0.946}",compound,0.946
Love you guys.Happy to see you both,Love you guys.Happy to see you both,Love you guys.Happy to see you both,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.6369}",compound,0.6369
love you guys❤️,love you guys❤️,love you guysred heart,"{'neg': 0.0, 'neu': 0.192, 'pos': 0.808, 'compound': 0.8555}",compound,0.8555
M R T 3 লাইন কোথায় হবে জানাবেন কি❤❤❤,M R T 3 Line will tell you where to be,M R T 3 Line will tell you where to be,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
Ma Hassina u please extend matro fly over Sador gat to jingira . Please make 2 ferry gat jingira & sador gat.,Ma Hassina u please extend matro fly over sador gat to jingira. Please make 2 ferry gat jingira & sador gat.,Ma Hassina u please extend matro fly over sador gat to jingira. Please make 2 ferry gat jingira & sador gat.,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.6486}",neu,0.741
Main road a rickshaw bhondo na korle..kono lab hobe na,Main Road a rickshaw bhondo na korle..kono lab hobe na,Main Road a rickshaw bhondo na korle..kono lab hobe na,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
Make Chandpur second capital . Ur  our mother of nation. it will Make opportunity to earn foreign currency. New year fire work Mujibur dad birthday. we will celebrate happily. We love u. Long live Hassina. U r our queen & god,Make Chandpur second capital . Ur  our mother of nation. it will Make opportunity to earn foreign currency. New year fire work Mujibur dad birthday. we will celebrate happily. We love u. Long live Hassina. U r our queen & god,Make Chandpur second capital . Ur  our mother of nation. it will Make opportunity to earn foreign currency. New year fire work Mujibur dad birthday. we will celebrate happily. We love u. Long live Hassina. U r our queen & god,"{'neg': 0.045, 'neu': 0.651, 'pos': 0.305, 'compound': 0.9325}",compound,0.9325
Make plan to take metro rail  jinjira. we will sent u more money & remittance. U hirock ar rani Bangladeshi vagoban. air port to sadorgat then we will go borishal Chandpur. Joy Siri ram. Ur vogban of Bangladeshi Muslim’s,Make plan to take metro rail  jinjira. we will sent u more money & remittance. U hirock ar rani Bangladeshi vagoban. air port to sadorgat then we will go borishal Chandpur. Joy Siri ram. Ur vogban of Bangladeshi Muslim’s,Make plan to take metro rail  jinjira. we will sent u more money & remittance. U hirock ar rani Bangladeshi vagoban. air port to sadorgat then we will go borishal Chandpur. Joy Siri ram. Ur vogban of Bangladeshi Muslim’s,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.5859}",neu,0.909
Mam apni khub sundor kotha bolte paren,Mam apni khub sundor kotha bolte paren,Mam apni khub sundor kotha bolte paren,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
Mamun bhai good job 👍,Mamun bhai good job ●,Mamun bhai good job ●,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",neu,0.58
Manila also have same LRT,Manila also have same LRT,Manila also have same LRT,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
manush etodur jabe kivabe lauggage niye ure ure?,Manush Etodur Jabe Kivabe Lauggage Niye ure ure?,Manush Etodur Jabe Kivabe Lauggage Niye ure ure?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
Many Congratulations Bangladesh. Sotti outstanding bhai  emotional moment . We are very happy to see your progress. I love Bangladesh and all my Bangladeshi Brothers and sisters. A true Bengali from Kolkata and senior PhD scholar of the University of Malaya (UM),Many Congratulations Bangladesh. Sotti outstanding bhai  emotional moment . We are very happy to see your progress. I love Bangladesh and all my Bangladeshi Brothers and sisters. A true Bengali from Kolkata and senior PhD scholar of the University of Malaya (UM),Many Congratulations Bangladesh. Sotti outstanding bhai  emotional moment . We are very happy to see your progress. I love Bangladesh and all my Bangladeshi Brothers and sisters. A true Bengali from Kolkata and senior PhD scholar of the University of Malaya (UM),"{'neg': 0.0, 'neu': 0.6, 'pos': 0.4, 'compound': 0.9729}",compound,0.9729
Many many Congratulation to my brothers and sisters in bangladesh.,Many many Congratulation to my brothers and sisters in bangladesh.,Many many Congratulation to my brothers and sisters in bangladesh.,"{'neg': 0.0, 'neu': 0.698, 'pos': 0.302, 'compound': 0.5994}",neu,0.698
Many many congratulations 👏,Many many congratulations 👏,Many many congratulations clapping hands,"{'neg': 0.0, 'neu': 0.506, 'pos': 0.494, 'compound': 0.5994}",compound,0.5994
Many thanks to Shekhashina for building Metrorail,Many thanks to Shekhashina for building Metrorail,Many thanks to Shekhashina for building Metrorail,"{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}",neu,0.674
Masha Allah,MASHA Alllah,MASHA Alllah,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
Masha allah,MASHA Alllah,MASHA Alllah,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
"Masha Allah ,onek buitiful","Masha allah, onek buitiful","Masha allah, onek buitiful","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
Masha allah.,MASHA Alllah.,MASHA Alllah.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
mashaallah ❤,MashaAllah ❤,MashaAllah red heart,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.6369}",pos,0.677
Mashaallah.,MashaAllah.,MashaAllah.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
MashAllah,Mashallah,Mashallah,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
Matro rale konochoti nai,Matro rale konochoti nai,Matro rale konochoti nai,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
May Bangladesh achieve the highest of success. 🇮🇳 🤝 🇧🇩,May Bangladesh achieve the highest of success. 🇮🇳 🤝 🇧🇩,May Bangladesh achieve the highest of success. flag: India handshake flag: Bangladesh,"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.5719}",neu,0.748
Mero rail a horn kno bazay?,Mero rail a horn kno bazay?,Mero rail a horn kno bazay?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
Meroon or navy blue or dark green or dark red color would be better bcz white color will looks dirty so fast and it seems the rail so older🙂,Meroon or navy blue or dark green or dark red color would be better bcz white color will looks dirty so fast and it seems the rail so older🙂,Meroon or navy blue or dark green or dark red color would be better bcz white color will looks dirty so fast and it seems the rail so olderslightly smiling face,"{'neg': 0.078, 'neu': 0.755, 'pos': 0.167, 'compound': 0.507}",neu,0.755
Metro pass bank card ঘুলায় দিয়ে দিলে পারে contactless card,Metro Pass Bank Card Card can be given in the Contactless Card,Metro Pass Bank Card Card can be given in the Contactless Card,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
Metro r coach gulo probably aapnara south koria theke import korechen,Metro r coach Gulo probably aapnara south koria theke import korechen,Metro r coach Gulo probably aapnara south koria theke import korechen,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
Metro r lelvated express way chara r khobor nai desh e ?,Metro r lelvated express way chara r khobor nai desh e?,Metro r lelvated express way chara r khobor nai desh e?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
Metro Rail,Metro Rail,Metro Rail,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
Metro Rail Amar Protidin er Songi Eta Normal,Metro Rail Amar Protidin er songi eta Normal,Metro Rail Amar Protidin er songi eta Normal,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
Metro rail ato horn mare kan????,Metro rail ato horn mara kan ????,Metro rail ato horn mara kan ????,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
Metro rail chalu hoiyeche?,Metro Rail Chalu hoiyeche?,Metro Rail Chalu hoiyeche?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
Metro Rail e horn Dewar logic ki?? Mne Sound Pollution na korle ki pap hoy?,Metro Rail e Horn Dewar Logic Ki ?? Mne sound pollution na korle ki pa hoy?,Metro Rail e Horn Dewar Logic Ki ?? Mne sound pollution na korle ki pa hoy?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
metro rail e toilet e taka neoa hosse keno?,Metro Rail e Toilet e Taka Neoa Hossain Keno?,Metro Rail e Toilet e Taka Neoa Hossain Keno?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
metro rail er ei sound ta manush er jonno khotikarok,Metro Rail er ei sound ta manush er jonno Khotikarok,Metro Rail er ei sound ta manush er jonno Khotikarok,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
Metro rail Fare Free hole valo hoto.,Metro Rail Fare Free Hole Valo Hoto.,Metro Rail Fare Free Hole Valo Hoto.,"{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.5106}",neu,0.645
Metro rail is financed by Jica,Metro rail is financed by Jica,Metro rail is financed by Jica,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
Metro rail is one of the most efficient mass transport system in modern cities. It also helps in diminishing pollution apart from reducing consumption of fossil oil. It is a very wise decision to introduce MRT in Dacca & will help in easing road traffic in future.,Metro rail is one of the most efficient mass transport system in modern cities. It also helps in diminishing pollution apart from reducing consumption of fossil oil. It is a very wise decision to introduce MRT in Dacca & will help in easing road traffic in future.,Metro rail is one of the most efficient mass transport system in modern cities. It also helps in diminishing pollution apart from reducing consumption of fossil oil. It is a very wise decision to introduce MRT in Dacca & will help in easing road traffic in future.,"{'neg': 0.0, 'neu': 0.753, 'pos': 0.247, 'compound': 0.915}",compound,0.915
Metro Rail Journey is short time. But,Metro Rail Journey is short time. But,Metro Rail Journey is short time. But,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
METRO RAIL KOYTA THEKE KOYTA PROJONTO,Metro rail koyta theke koyta projonto,Metro rail koyta theke koyta projonto,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
Metro rail not only for office staff. So,Metro rail not only for office staff. So,Metro rail not only for office staff. So,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
Metro Rail should open till 10:00 PM and run everyday,Metro Rail should open till 10:00 PM and run everyday,Metro Rail should open till 10:00 PM and run everyday,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
Metro rel eto bhir loke to kaje time moto pouchote parbe nh😂,Metro R Bhir Loke to Kaje Time Moto Pouchote Parbe nh😂,Metro R Bhir Loke to Kaje Time Moto Pouchote Parbe nhface with tears of joy,"{'neg': 0.102, 'neu': 0.695, 'pos': 0.203, 'compound': 0.4404}",neu,0.695
Metro station e air-conditioning system thake na only subway metro te thake even sob khanei -_-,Metro Station E Air-Konditioning System Thake Na Only Subway Metro Te Thake Even Sob Khani ---,Metro Station E Air-Konditioning System Thake Na Only Subway Metro Te Thake Even Sob Khani ---,"{'neg': 0.118, 'neu': 0.882, 'pos': 0.0, 'compound': -0.25}",neu,0.882
metro te emn line thakle ashole e jader workplace e jawa dorkar tara ar uthbe na,metro te emn line thakle ashole e jader workplace e jawa dorkar tara ar uthbe na,metro te emn line thakle ashole e jader workplace e jawa dorkar tara ar uthbe na,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
Metro te safor korar jonne station er baire keno opekha korte hoy ?kolkatay direct vitore ese far coin collect korte hoy ..,Metro te safor korar jonne station er baire kene korte korte hoy?,Metro te safor korar jonne station er baire kene korte korte hoy?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
Metror front desine ta aktu old designer,Metror front desine ta aktu old designer,Metror front desine ta aktu old designer,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
Metror nicha bus off kore den,Den Metroor Nicha Bus Off Kore,Den Metroor Nicha Bus Off Kore,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
Metrorail horn bajachche keno? Traffic ase?,Metrorail Horn Bajachche keno? Traffic ase?,Metrorail Horn Bajachche keno? Traffic ase?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
Mike & Gigi you can visit old Panam City (at old capital Sonargaon near Dhaka city). Hope u will enjoy it. It opens after 2:30 pm. Pls check the closing day.,Mike & Gigi you can visit old Panam City (at old capital Sonargaon near Dhaka city). Hope u will enjoy it. It opens after 2:30 pm. Pls check the closing day.,Mike & Gigi you can visit old Panam City (at old capital Sonargaon near Dhaka city). Hope u will enjoy it. It opens after 2:30 pm. Pls check the closing day.,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.7506}",neu,0.791
Mike and Gigi most warm welcome to you both in Bangladesh 🇧🇩. Have a great time.🇷🇴,Mike and Gigi most warm welcome to you both in Bangladesh 🇧🇩. Have a great time.🇷🇴,Mike and Gigi most warm welcome to you both in Bangladesh flag: Bangladesh. Have a great time.flag: Romania,"{'neg': 0.0, 'neu': 0.61, 'pos': 0.39, 'compound': 0.8615}",compound,0.8615
Mone hoy bus driver ra train driver hoise ovvase horn marte thake.,Mone hoy bus driver ra train driver hoise ovvase horn marte thake.,Mone hoy bus driver ra train driver hoise ovvase horn marte thake.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
Monthly card na hole ei line daranur buganti jabe na. Metro er main goal hocche waiting na kora r somoy bachanu. Bar bar ticket kata lagle tho hobe na.,Monthly card na hole ei line Daranur Buganti Jabe Na. Metro er main goal hocche waiting na kora r somoy baachanu. Bar Bar Ticket Kata Lagle Tho Hobe Na.,Monthly card na hole ei line Daranur Buganti Jabe Na. Metro er main goal hocche waiting na kora r somoy baachanu. Bar Bar Ticket Kata Lagle Tho Hobe Na.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
Most welcome Michael and gigi 🖤🖤,Most welcome Michael and gigi 🖤🖤,Most welcome Michael and gigi black heartblack heart,"{'neg': 0.0, 'neu': 0.445, 'pos': 0.555, 'compound': 0.8173}",compound,0.8173
Motijheel theke ekhono start hoy ni..,Motijheel theke ekhono start hoy ni ..,Motijheel theke ekhono start hoy ni ..,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
Motijheel theke ki train chare ami to  janina vaia ektu blben kon kon jaiga theke chare,Motijheel theke Ki Train Chare ami to Janina Vaia Ektu Blben Kon Jaiga Theke Chare,Motijheel theke Ki Train Chare ami to Janina Vaia Ektu Blben Kon Jaiga Theke Chare,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
Mr Triple R Army OP,Mr Triple R Army OP,Mr Triple R Army OP,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
Mr.triple R,Mr.triple R,Mr.triple R,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
MRT Best review Video apnar theke pabo bolei opekkay chilam. Thanks TRT & Kibria vai,Mrt Best Review Video Apnar Theke Pabo bolei Opekkay Chilam. Thanks TRT & Kibria vai,Mrt Best Review Video Apnar Theke Pabo bolei Opekkay Chilam. Thanks TRT & Kibria vai,"{'neg': 0.0, 'neu': 0.647, 'pos': 0.353, 'compound': 0.7964}",compound,0.7964
MRT line 5 er kaj dekhan,Mrt line 5 er kaj dekhan,Mrt line 5 er kaj dekhan,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
MRT আরও কয়েকটি লাইন খুললে (৪ বা ৫) ঢাকার নাগরিকরা আরামদায়ক ভ্রমণ এবং সময় বাঁচানোর সম্পূর্ণ সুবিধা পাবেন।,When MRT opens a few more lines (1 or 5) the citizens of Dhaka will get the full benefits of comfortable travel and time to save time.,When MRT opens a few more lines (1 or 5) the citizens of Dhaka will get the full benefits of comfortable travel and time to save time.,"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.8442}",compound,0.8442
MRT-1 গাজীপুর পর্যন্ত বাড়ালে ভালো হতো।,It would have been better if MRT-1 was up to Gazipur.,It would have been better if MRT-1 was up to Gazipur.,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}",neu,0.775
MRT-2 & MRT-4 সম্পর্কে বিস্তারিত ভিডিও চাই।,Want a detailed video about MRT-2 & MRT-4.,Want a detailed video about MRT-2 & MRT-4.,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.0772}",neu,0.843
MRT-2 Metrorail may come from Polton(beside Secretaryet,MRT-2 Metrorail may come from Polton(beside Secretaryet,MRT-2 Metrorail may come from Polton(beside Secretaryet,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
Mubarak BANGLADESH 😃😃😃👌👌👍👍 From BHARAT 🇮🇳🇮🇳👍👍🇧🇩🇧🇩,Mubarak Bangladesh 😃😃😃★ from Bharat 🇮🇳🇮🇳pose,Mubarak Bangladesh grinning face with big eyesgrinning face with big eyesgrinning face with big eyes★ from Bharat flag: Indiaflag: Indiapose,"{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.3612}",neu,0.884
Much love❤️,Much love❤️,Much lovered heart,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.6369}",pos,0.677
Murirtin' situation is available here?,Murirtin' situation is available here?,Murirtin' situation is available here?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
my best sis & my best bro you both are looking awesome thank you for your huge respect against cpec friendship countries lot of love from your best bro viki 💙,my best sis & my best bro you both are looking awesome thank you for your huge respect against cpec friendship countries lot of love from your best bro viki 💙,my best sis & my best bro you both are looking awesome thank you for your huge respect against cpec friendship countries lot of love from your best bro viki blue heart,"{'neg': 0.0, 'neu': 0.38, 'pos': 0.62, 'compound': 0.989}",compound,0.989
Na pepaise don bape pute keton,Na pepaise don baape pute keton,Na pepaise don baape pute keton,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
News 😮,News 😮,News face with open mouth,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,1.0
Nice,Nice,Nice,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",pos,1.0
Nice 😢🎉🎉🎉🎉🎉,Nice 😢🎉🎉🎉🎉🎉,Nice crying faceparty popperparty popperparty popperparty popperparty popper,"{'neg': 0.261, 'neu': 0.504, 'pos': 0.235, 'compound': -0.0772}",neu,0.504
Nice couple with a nice journey.,Nice couple with a nice journey.,Nice couple with a nice journey.,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.6808}",compound,0.6808
Nice good video,Nice good video,Nice good video,"{'neg': 0.0, 'neu': 0.149, 'pos': 0.851, 'compound': 0.6908}",pos,0.851
Nice presentation. Thank you.,Nice presentation. Thank you.,Nice presentation. Thank you.,"{'neg': 0.0, 'neu': 0.274, 'pos': 0.726, 'compound': 0.6486}",pos,0.726
Nice prio pm sheikh hasina,Nice prio pm sheikh hasina,Nice prio pm sheikh hasina,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.4215}",neu,0.588
Nice to see the video. Thanks a lot for your efforts to present us the updated news on the Metro Rail.,Nice to see the video. Thanks a lot for your efforts to present us the updated news on the Metro Rail.,Nice to see the video. Thanks a lot for your efforts to present us the updated news on the Metro Rail.,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.6908}",neu,0.769
Nice to see you Again back in Bangladesh. You guys are amazing! thank you for showing us Metro train through ur eyes. Love from #mrandmrssarkeruk,Nice to see you Again back in Bangladesh. You guys are amazing! thank you for showing us Metro train through ur eyes. Love from #mrandmrssarkeruk,Nice to see you Again back in Bangladesh. You guys are amazing! thank you for showing us Metro train through ur eyes. Love from #mrandmrssarkeruk,"{'neg': 0.0, 'neu': 0.607, 'pos': 0.393, 'compound': 0.9273}",compound,0.9273
Nice to see you again in Bangladesh,Nice to see you again in Bangladesh,Nice to see you again in Bangladesh,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.4215}",neu,0.682
Nice video. Can you enter this metro from the airport? Does it have a route map,Nice video. Can you enter this metro from the airport? Does it have a route map,Nice video. Can you enter this metro from the airport? Does it have a route map,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.4215}",neu,0.843
Nice❤,Nice❤,Nicered heart,"{'neg': 0.0, 'neu': 0.192, 'pos': 0.808, 'compound': 0.6369}",pos,0.808
Nijeder sompod dekhy rakhar daitto amader .tai kew rules break korben na  evaby  aobai nijer kaj thik vaby korly proud feel hoi,Nijeder sompod dekhy rakhar daitto amader .tai kew raules break korben na evaby aobai nijer kaj thik vaby korly proud feel hoi,Nijeder sompod dekhy rakhar daitto amader .tai kew raules break korben na evaby aobai nijer kaj thik vaby korly proud feel hoi,"{'neg': 0.0, 'neu': 0.871, 'pos': 0.129, 'compound': 0.4767}",neu,0.871
Now i pray that the Bangladeshi citizens use it responsibly 🙏,Now i pray that the Bangladeshi citizens use it responsibly 🙏,Now i pray that the Bangladeshi citizens use it responsibly folded hands,"{'neg': 0.0, 'neu': 0.827, 'pos': 0.173, 'compound': 0.3182}",neu,0.827
Off ta Friday te nh dilei vlo hoito mybe karon ei ekta din e office college off thake shobai ghurar plan kore,Off ta friday te nh dilei vlo hoito mybe karon ei ei ekta din e office off off thake shobai ghurr plan kore,Off ta friday te nh dilei vlo hoito mybe karon ei ei ekta din e office off off thake shobai ghurr plan kore,"{'neg': 0.0, 'neu': 0.873, 'pos': 0.127, 'compound': 0.4939}",neu,0.873
Offcourse it's been a great achivement for country. It does contain all the amenities according to international standard. we need to be more sincere in order to  maintain this national asset for another 100 years .,Offcourse it's been a great achivement for country. It does contain all the amenities according to international standard. we need to be more sincere in order to  maintain this national asset for another 100 years .,Offcourse it's been a great achivement for country. It does contain all the amenities according to international standard. we need to be more sincere in order to  maintain this national asset for another 100 years .,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.8622}",compound,0.8622
Oh!! Really nice to see you both again in Dhaka ❤️👍🇧🇩,Oh!! Really nice to see you both again in Dhaka ❤️👍🇧🇩,Oh!! Really nice to see you both again in Dhaka red heartthumbs upflag: Bangladesh,"{'neg': 0.0, 'neu': 0.78, 'pos': 0.22, 'compound': 0.5686}",neu,0.78
Ohh 😯😯 hmm😊😊,Ohh 😯😯 hmm😊,Ohh hushed facehushed face hmmsmiling face with smiling eyes,"{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.4588}",neu,0.727
OKOLPONIYO SHOMOSTO ACHIEVEMENT ALL CREDIT GOES TO OUR PRIME MINISTER HASINA APA SALUTE TO YOU MAM,OKOLPONIYO SHOMOSTO ACHIEVEMENT ALL CREDIT GOES TO OUR PRIME MINISTER HASINA APA SALUTE TO YOU MAM,OKOLPONIYO SHOMOSTO ACHIEVEMENT ALL CREDIT GOES TO OUR PRIME MINISTER HASINA APA SALUTE TO YOU MAM,"{'neg': 0.0, 'neu': 0.852, 'pos': 0.148, 'compound': 0.3818}",neu,0.852
